name,link
A. P. J. Abdul Kalam,https://en.wikipedia.org/wiki/A._P._J._Abdul_Kalam
Aaron Swartz,https://en.wikiquote.org/wiki/Aaron_Swartz
Ada Lovelace,https://en.wikipedia.org/wiki/Ada_Lovelace
Ada Yonath,https://en.wikipedia.org/wiki/Ada_Yonath
Adele Goldberg,https://en.wikipedia.org/wiki/Adele_Goldberg_(computer_scientist)
Adele Goldstine,https://en.wikipedia.org/wiki/Adele_Goldstine
Adi Shamir,https://en.wikipedia.org/wiki/Adi_Shamir
Agnes Meyer Driscoll,https://en.wikipedia.org/wiki/Agnes_Meyer_Driscoll
Alan Turing,https://en.wikipedia.org/wiki/Alan_Turing.
Albert Einstein,https://en.wikipedia.org/wiki/Albert_Einstein
Alexander Fleming,https://en.wikipedia.org/wiki/Alexander_Fleming
Alexander Graham Bell,https://en.wikipedia.org/wiki/Alexander_Graham_Bell
Alexander Grothendieck,https://en.wikipedia.org/wiki/Alexander_Grothendieck
Alexander Keewatin Dewdney,https://en.wikipedia.org/wiki/Alexander_Dewdney
Alexandra Asanovna Elbakyan,https://en.wikipedia.org/wiki/Alexandra_Elbakyan
Alfred Nobel,https://en.wikipedia.org/wiki/Alfred_Nobel
Ambroise Pare,https://en.wikipedia.org/wiki/Ambroise_Par%C3%A9
Andrew Wiles,https://en.wikipedia.org/wiki/Andrew_Wiles
Anita Borg,https://en.wikipedia.org/wiki/Anita_Borg
Anne Laura Dorinthea McLaren,https://en.wikipedia.org/wiki/Anne_McLaren
Annie Easley,https://en.wikipedia.org/wiki/Annie_Easley
Annie Jump Cannon,https://en.wikipedia.org/wiki/Annie_Jump_Cannon
Asima Chatterjee,https://en.wikipedia.org/wiki/Asima_Chatterjee
Auguste Lumière,https://en.wikipedia.org/wiki/Auguste_and_Louis_Lumi%C3%A8re
Bailey Whitfield Diffie,https://en.wikipedia.org/wiki/Whitfield_Diffie
Barbara Liskov,https://en.wikipedia.org/wiki/Barbara_Liskov
Barbara McClintock,https://en.wikipedia.org/wiki/Barbara_McClintock
Beatrice Hicks,https://en.wikipedia.org/wiki/Beatrice_Hicks
Benjamin Franklin,https://en.wikipedia.org/wiki/Benjamin_Franklin
Bertha Swirles,https://en.wikipedia.org/wiki/Bertha_Swirles
Betty Jennings,https://en.wikipedia.org/wiki/ENIAC
